x,y,z,value1,value2,value3    
18,3,0,-0.352199E+00,0.119385E+00,0.191618E-02
19,3,0,-0.345547E+00,0.115616E+00,0.273991E-02
20,3,0,-0.326436E+00,0.804989E-01,0.245407E-02
21,3,0,-0.268031E+00,0.324157E-01,0.733985E-01
22,3,0,-0.228506E+00,0.222468E-02,0.549760E-01
23,3,0,-0.212142E+00,0.000000E+00,0.158237E-02
24,3,0,-0.151067E+00,0.488334E-01,0.120846E-01
25,3,0,-0.134901E+00,0.160055E-01,0.546841E-01
26,3,0,-0.110479E+00,0.690603E-02,0.549613E-02
27,3,0,-0.106791E+00,0.612929E-02,0.607550E-02
0,4,0,-0.120664E+00,0.689333E-02,0.114542E-01
1,4,0,-0.137064E+00,0.151730E-01,0.105852E-01
2,4,0,-0.166307E+00,0.139455E-01,0.103678E+00
3,4,0,-0.198022E+00,0.000000E+00,0.224013E-01
4,4,0,-0.236040E+00,0.288428E-01,0.523767E-01
5,4,0,-0.305620E+00,0.000000E+00,0.662848E-01
6,4,0,-0.364011E+00,0.000000E+00,0.798346E-01
7,4,0,-0.412294E+00,0.000000E+00,0.895045E-01
8,4,0,-0.415931E+00,0.000000E+00,0.878014E-01
9,4,0,-0.369230E+00,0.000000E+00,0.695338E-01
10,4,0,-0.300606E+00,0.146122E+00,0.559365E-01
11,4,0,-0.236652E+00,0.378958E-01,0.328862E-01
12,4,0,-0.214182E+00,0.368543E-01,0.235591E-01
13,4,0,-0.224904E+00,0.457381E-01,0.352445E-01
14,4,0,-0.289300E+00,0.359991E-01,0.759639E-01
15,4,0,-0.379044E+00,0.537216E-01,0.762483E-01
16,4,0,-0.415890E+00,0.766608E-01,0.944575E-01
17,4,0,-0.434315E+00,0.919368E-01,0.106260E+00
18,4,0,-0.438303E+00,0.840672E-01,0.997118E-01
19,4,0,-0.404658E+00,0.927313E-01,0.113091E+00
20,4,0,-0.345915E+00,0.119959E+00,0.964621E-01
21,4,0,-0.283529E+00,0.124154E+00,0.698686E-01
22,4,0,-0.248423E+00,0.126378E+00,0.154927E+00
23,4,0,-0.191747E+00,0.506155E-02,0.102175E+00
24,4,0,-0.143287E+00,0.132929E-01,0.140904E-01
25,4,0,-0.122716E+00,0.140831E-01,0.700323E-02
26,4,0,-0.106894E+00,0.570623E-02,0.585160E-02
27,4,0,-0.107082E+00,0.626843E-02,0.604498E-02
0,5,0,-0.143381E+00,0.785840E-01,0.114989E-01
1,5,0,-0.168709E+00,0.274693E-01,0.799593E-01
2,5,0,-0.200563E+00,0.000000E+00,0.246035E-01
3,5,0,-0.255097E+00,0.000000E+00,0.743502E-01
4,5,0,-0.327006E+00,0.000000E+00,0.101135E+00
