,x,y,z,value
0,0.000000,0.000000,0.000000,0.501930
1,0.111111,0.000000,0.000000,0.481964
2,0.222222,0.000000,0.000000,0.445338
3,0.333333,0.000000,0.000000,0.415334
4,0.444444,0.000000,0.000000,0.399387
5,0.555556,0.000000,0.000000,0.399387
6,0.666667,0.000000,0.000000,0.415334
7,0.777778,0.000000,0.000000,0.445338
8,0.888889,0.000000,0.000000,0.481963
9,1.000000,0.000000,0.000000,0.501930
10,0.000000,0.111111,0.000000,0.481963
11,0.111111,0.111111,0.000000,0.463592
12,0.222222,0.111111,0.000000,0.442066
13,0.333333,0.111111,0.000000,0.404735
14,0.444444,0.111111,0.000000,0.372718
15,0.555556,0.111111,0.000000,0.382632
16,0.666667,0.111111,0.000000,0.409038
17,0.777778,0.111111,0.000000,0.446183
18,0.888889,0.111111,0.000000,0.479829
19,1.000000,0.111111,0.000000,0.481963
20,0.000000,0.222222,0.000000,0.445335
21,0.111111,0.222222,0.000000,0.442066
22,0.222222,0.222222,0.000000,0.367489
23,0.333333,0.222222,0.000000,0.341778
24,0.444444,0.222222,0.000000,0.327762
25,0.555556,0.222222,0.000000,0.339363
26,0.666667,0.222222,0.000000,0.369638
27,0.777778,0.222222,0.000000,0.411197
28,0.888889,0.222222,0.000000,0.446183
29,1.000000,0.222222,0.000000,0.445335
30,0.000000,0.333333,0.000000,0.415331
31,0.111111,0.333333,0.000000,0.404735
32,0.222222,0.333333,0.000000,0.341778
33,0.333333,0.333333,0.000000,0.303847
34,0.444444,0.333333,0.000000,0.290232
35,0.555556,0.333333,0.000000,0.298487
36,0.666667,0.333333,0.000000,0.327144
37,0.777778,0.333333,0.000000,0.369638
38,0.888889,0.333333,0.000000,0.409038
39,1.000000,0.333333,0.000000,0.415331
40,0.000000,0.444444,0.000000,0.399388
41,0.111111,0.444444,0.000000,0.372718
42,0.222222,0.444444,0.000000,0.327762
43,0.333333,0.444444,0.000000,0.290232
44,0.444444,0.444444,0.000000,0.271122
45,0.555556,0.444444,0.000000,0.274064
46,0.666667,0.444444,0.000000,0.298487
47,0.777778,0.444444,0.000000,0.339363
48,0.888889,0.444444,0.000000,0.382631
49,1.000000,0.444444,0.000000,0.399388
50,0.000000,0.555556,0.000000,0.399384
51,0.111111,0.555556,0.000000,0.382632
52,0.222222,0.555556,0.000000,0.339363
53,0.333333,0.555556,0.000000,0.298487
54,0.444444,0.555556,0.000000,0.274064
55,0.555556,0.555556,0.000000,0.271122
56,0.666667,0.555556,0.000000,0.290232
57,0.777778,0.555556,0.000000,0.327762
58,0.888889,0.555556,0.000000,0.372718
59,1.000000,0.555556,0.000000,0.399384
60,0.000000,0.666667,0.000000,0.415331
61,0.111111,0.666667,0.000000,0.409038
62,0.222222,0.666667,0.000000,0.369638
63,0.333333,0.666667,0.000000,0.327144
64,0.444444,0.666667,0.000000,0.298487
65,0.555556,0.666667,0.000000,0.290232
66,0.666667,0.666667,0.000000,0.303847
67,0.777778,0.666667,0.000000,0.341778
68,0.888889,0.666667,0.000000,0.404735
69,1.000000,0.666667,0.000000,0.415331
70,0.000000,0.777778,0.000000,0.445335
71,0.111111,0.777778,0.000000,0.446183
72,0.222222,0.777778,0.000000,0.411197
73,0.333333,0.777778,0.000000,0.369638
74,0.444444,0.777778,0.000000,0.339363
75,0.555556,0.777778,0.000000,0.327762
76,0.666667,0.777778,0.000000,0.341778
77,0.777778,0.777778,0.000000,0.367473
78,0.888889,0.777778,0.000000,0.442066
79,1.000000,0.777778,0.000000,0.445335
80,0.000000,0.888889,0.000000,0.481959
81,0.111111,0.888889,0.000000,0.479829
82,0.222222,0.888889,0.000000,0.446183
83,0.333333,0.888889,0.000000,0.409038
84,0.444444,0.888889,0.000000,0.382632
85,0.555556,0.888889,0.000000,0.372718
86,0.666667,0.888889,0.000000,0.404735
87,0.777778,0.888889,0.000000,0.442066
88,0.888889,0.888889,0.000000,0.463591
89,1.000000,0.888889,0.000000,0.481959
90,0.000000,1.000000,0.000000,0.501930
91,0.111111,1.000000,0.000000,0.481964
92,0.222222,1.000000,0.000000,0.445338
93,0.333333,1.000000,0.000000,0.415334
94,0.444444,1.000000,0.000000,0.399387
95,0.555556,1.000000,0.000000,0.399387
96,0.666667,1.000000,0.000000,0.415334
97,0.777778,1.000000,0.000000,0.445338
98,0.888889,1.000000,0.000000,0.481963
99,1.000000,1.000000,0.000000,0.501930
100,0.000000,0.000000,0.111111,0.481963
101,0.111111,0.000000,0.111111,0.463592
102,0.222222,0.000000,0.111111,0.442065
103,0.333333,0.000000,0.111111,0.404732
104,0.444444,0.000000,0.111111,0.372718
105,0.555556,0.000000,0.111111,0.382631
106,0.666667,0.000000,0.111111,0.409038
107,0.777778,0.000000,0.111111,0.446183
108,0.888889,0.000000,0.111111,0.479829
109,1.000000,0.000000,0.111111,0.481963
110,0.000000,0.111111,0.111111,0.463589
111,0.111111,0.111111,0.111111,0.481950
112,0.222222,0.111111,0.111111,0.479818
113,0.333333,0.111111,0.111111,0.446173
114,0.444444,0.111111,0.111111,0.409029
115,0.555556,0.111111,0.111111,0.382624
116,0.666667,0.111111,0.111111,0.372711
117,0.777778,0.111111,0.111111,0.404752
118,0.888889,0.111111,0.111111,0.442084
119,1.000000,0.111111,0.111111,0.463589
120,0.000000,0.222222,0.111111,0.442065
121,0.111111,0.222222,0.111111,0.479818
122,0.222222,0.222222,0.111111,0.442061
123,0.333333,0.222222,0.111111,0.415977
124,0.444444,0.222222,0.111111,0.376998
125,0.555556,0.222222,0.111111,0.345815
126,0.666667,0.222222,0.111111,0.345820
127,0.777778,0.222222,0.111111,0.377008
128,0.888889,0.222222,0.111111,0.415990
129,1.000000,0.222222,0.111111,0.442065
130,0.000000,0.333333,0.111111,0.404735
131,0.111111,0.333333,0.111111,0.446173
132,0.222222,0.333333,0.111111,0.415977
133,0.333333,0.333333,0.111111,0.341766
134,0.444444,0.333333,0.111111,0.313159
135,0.555556,0.333333,0.111111,0.285044
136,0.666667,0.333333,0.111111,0.295929
137,0.777778,0.333333,0.111111,0.332944
138,0.888889,0.333333,0.111111,0.377009
139,1.000000,0.333333,0.111111,0.404735
140,0.000000,0.444444,0.111111,0.372718
141,0.111111,0.444444,0.111111,0.409029
142,0.222222,0.444444,0.111111,0.376998
143,0.333333,0.444444,0.111111,0.313160
144,0.444444,0.444444,0.111111,0.290230
145,0.555556,0.444444,0.111111,0.246633
146,0.666667,0.444444,0.111111,0.257246
147,0.777778,0.444444,0.111111,0.295935
148,0.888889,0.444444,0.111111,0.345829
149,1.000000,0.444444,0.111111,0.372718
150,0.000000,0.555556,0.111111,0.382630
151,0.111111,0.555556,0.111111,0.382624
152,0.222222,0.555556,0.111111,0.345815
153,0.333333,0.555556,0.111111,0.285044
154,0.444444,0.555556,0.111111,0.246634
155,0.555556,0.555556,0.111111,0.274062
156,0.666667,0.555556,0.111111,0.246627
157,0.777778,0.555556,0.111111,0.285057
158,0.888889,0.555556,0.111111,0.345829
159,1.000000,0.555556,0.111111,0.382630
160,0.000000,0.666667,0.111111,0.409038
161,0.111111,0.666667,0.111111,0.372707
162,0.222222,0.666667,0.111111,0.345820
163,0.333333,0.666667,0.111111,0.295929
164,0.444444,0.666667,0.111111,0.257246
165,0.555556,0.666667,0.111111,0.246619
166,0.666667,0.666667,0.111111,0.290229
167,0.777778,0.666667,0.111111,0.313173
168,0.888889,0.666667,0.111111,0.377009
169,1.000000,0.666667,0.111111,0.409038
170,0.000000,0.777778,0.111111,0.446183
171,0.111111,0.777778,0.111111,0.404751
172,0.222222,0.777778,0.111111,0.377008
173,0.333333,0.777778,0.111111,0.332944
174,0.444444,0.777778,0.111111,0.295935
175,0.555556,0.777778,0.111111,0.285057
176,0.666667,0.777778,0.111111,0.313173
177,0.777778,0.777778,0.111111,0.341795
178,0.888889,0.777778,0.111111,0.415990
179,1.000000,0.777778,0.111111,0.446183
180,0.000000,0.888889,0.111111,0.479829
181,0.111111,0.888889,0.111111,0.442081
182,0.222222,0.888889,0.111111,0.415990
183,0.333333,0.888889,0.111111,0.377009
184,0.444444,0.888889,0.111111,0.345829
185,0.555556,0.888889,0.111111,0.345829
186,0.666667,0.888889,0.111111,0.377009
187,0.777778,0.888889,0.111111,0.415990
188,0.888889,0.888889,0.111111,0.442084
189,1.000000,0.888889,0.111111,0.479829
190,0.000000,1.000000,0.111111,0.481963
191,0.111111,1.000000,0.111111,0.463592
192,0.222222,1.000000,0.111111,0.442065
193,0.333333,1.000000,0.111111,0.404732
194,0.444444,1.000000,0.111111,0.372718
195,0.555556,1.000000,0.111111,0.382631
196,0.666667,1.000000,0.111111,0.409038
197,0.777778,1.000000,0.111111,0.446183
198,0.888889,1.000000,0.111111,0.479829
199,1.000000,1.000000,0.111111,0.481963
200,0.000000,0.000000,0.222222,0.445338
201,0.111111,0.000000,0.222222,0.442071
202,0.222222,0.000000,0.222222,0.367490
203,0.333333,0.000000,0.222222,0.341777
204,0.444444,0.000000,0.222222,0.327762
205,0.555556,0.000000,0.222222,0.339363
206,0.666667,0.000000,0.222222,0.369638
207,0.777778,0.000000,0.222222,0.411197
208,0.888889,0.000000,0.222222,0.446183
209,1.000000,0.000000,0.222222,0.445338
210,0.000000,0.111111,0.222222,0.442069
211,0.111111,0.111111,0.222222,0.479818
212,0.222222,0.111111,0.222222,0.442061
213,0.333333,0.111111,0.222222,0.415977
214,0.444444,0.111111,0.222222,0.376998
215,0.555556,0.111111,0.222222,0.345815
216,0.666667,0.111111,0.222222,0.345820
217,0.777778,0.111111,0.222222,0.377008
218,0.888889,0.111111,0.222222,0.415990
219,1.000000,0.111111,0.222222,0.442069
220,0.000000,0.222222,0.222222,0.367262
221,0.111111,0.222222,0.222222,0.442060
222,0.222222,0.222222,0.222222,0.445329
223,0.333333,0.222222,0.222222,0.446177
224,0.444444,0.222222,0.222222,0.411191
225,0.555556,0.222222,0.222222,0.369632
226,0.666667,0.222222,0.222222,0.339359
227,0.777778,0.222222,0.222222,0.327757
228,0.888889,0.222222,0.222222,0.341801
229,1.000000,0.222222,0.222222,0.367262
230,0.000000,0.333333,0.222222,0.341778
231,0.111111,0.333333,0.222222,0.415977
232,0.222222,0.333333,0.222222,0.446176
233,0.333333,0.333333,0.222222,0.404733
234,0.444444,0.333333,0.222222,0.377000
235,0.555556,0.333333,0.222222,0.332937
236,0.666667,0.333333,0.222222,0.295925
237,0.777778,0.333333,0.222222,0.285045
238,0.888889,0.333333,0.222222,0.313173
239,1.000000,0.333333,0.222222,0.341778
240,0.000000,0.444444,0.222222,0.327761
241,0.111111,0.444444,0.222222,0.376998
242,0.222222,0.444444,0.222222,0.411190
243,0.333333,0.444444,0.222222,0.377000
244,0.444444,0.444444,0.222222,0.327760
245,0.555556,0.444444,0.222222,0.285047
246,0.666667,0.444444,0.222222,0.228320
247,0.777778,0.444444,0.222222,0.228324
248,0.888889,0.444444,0.222222,0.285057
249,1.000000,0.444444,0.222222,0.327761
250,0.000000,0.555556,0.222222,0.339363
251,0.111111,0.555556,0.222222,0.345814
252,0.222222,0.555556,0.222222,0.369632
253,0.333333,0.555556,0.222222,0.332938
254,0.444444,0.555556,0.222222,0.285047
255,0.555556,0.555556,0.222222,0.298485
256,0.666667,0.555556,0.222222,0.257242
257,0.777778,0.555556,0.222222,0.228324
258,0.888889,0.555556,0.222222,0.295935
259,1.000000,0.555556,0.222222,0.339363
260,0.000000,0.666667,0.222222,0.369638
261,0.111111,0.666667,0.222222,0.345818
