,x,y,z,value
0,0.000000,0.000000,0.000000,0.487709
1,0.027778,0.000000,0.000000,0.488420
2,0.055556,0.000000,0.000000,0.489265
3,0.083333,0.000000,0.000000,0.490178
4,0.111111,0.000000,0.000000,0.490827
5,0.138889,0.000000,0.000000,0.490687
6,0.166667,0.000000,0.000000,0.489159
7,0.194444,0.000000,0.000000,0.485720
8,0.222222,0.000000,0.000000,0.480055
9,0.250000,0.000000,0.000000,0.472148
10,0.277778,0.000000,0.000000,0.462304
11,0.305556,0.000000,0.000000,0.451109
12,0.333333,0.000000,0.000000,0.439333
13,0.361111,0.000000,0.000000,0.427795
14,0.388889,0.000000,0.000000,0.417237
15,0.416667,0.000000,0.000000,0.408225
16,0.444444,0.000000,0.000000,0.401096
17,0.472222,0.000000,0.000000,0.395972
18,0.500000,0.000000,0.000000,0.392809
19,0.527778,0.000000,0.000000,0.391478
20,0.555556,0.000000,0.000000,0.391849
21,0.583333,0.000000,0.000000,0.393839
22,0.611111,0.000000,0.000000,0.397430
23,0.638889,0.000000,0.000000,0.402637
24,0.666667,0.000000,0.000000,0.409447
25,0.694444,0.000000,0.000000,0.417745
26,0.722222,0.000000,0.000000,0.427261
27,0.750000,0.000000,0.000000,0.437547
28,0.777778,0.000000,0.000000,0.448011
29,0.805556,0.000000,0.000000,0.457990
30,0.833333,0.000000,0.000000,0.466863
31,0.861111,0.000000,0.000000,0.474161
32,0.888889,0.000000,0.000000,0.479652
33,0.916667,0.000000,0.000000,0.483383
34,0.944444,0.000000,0.000000,0.485652
35,0.972222,0.000000,0.000000,0.486924
36,0.000000,0.027778,0.000000,0.488420
37,0.027778,0.027778,0.000000,0.488942
38,0.055556,0.027778,0.000000,0.489563
39,0.083333,0.027778,0.000000,0.490241
40,0.111111,0.027778,0.000000,0.490660
41,0.138889,0.027778,0.000000,0.490305
42,0.166667,0.027778,0.000000,0.488596
43,0.194444,0.027778,0.000000,0.485025
44,0.222222,0.027778,0.000000,0.479292
45,0.250000,0.027778,0.000000,0.471386
46,0.277778,0.027778,0.000000,0.461606
47,0.305556,0.027778,0.000000,0.450514
48,0.333333,0.027778,0.000000,0.438833
49,0.361111,0.027778,0.000000,0.427325
50,0.388889,0.027778,0.000000,0.416669
51,0.416667,0.027778,0.000000,0.407376
52,0.444444,0.027778,0.000000,0.399756
53,0.472222,0.027778,0.000000,0.393932
54,0.500000,0.027778,0.000000,0.389902
55,0.527778,0.027778,0.000000,0.387621
56,0.555556,0.027778,0.000000,0.387063
57,0.583333,0.027778,0.000000,0.388265
58,0.611111,0.027778,0.000000,0.391314
59,0.638889,0.027778,0.000000,0.396307
60,0.666667,0.027778,0.000000,0.403266
61,0.694444,0.027778,0.000000,0.412064
62,0.722222,0.027778,0.000000,0.422372
63,0.750000,0.027778,0.000000,0.433649
64,0.777778,0.027778,0.000000,0.445188
65,0.805556,0.027778,0.000000,0.456216
66,0.833333,0.027778,0.000000,0.466018
67,0.861111,0.027778,0.000000,0.474059
68,0.888889,0.027778,0.000000,0.480076
69,0.916667,0.027778,0.000000,0.484119
70,0.944444,0.027778,0.000000,0.486512
71,0.972222,0.027778,0.000000,0.487761
72,0.000000,0.055556,0.000000,0.489265
73,0.027778,0.055556,0.000000,0.489563
74,0.055556,0.055556,0.000000,0.489633
75,0.083333,0.055556,0.000000,0.489459
76,0.111111,0.055556,0.000000,0.488802
77,0.138889,0.055556,0.000000,0.487263
78,0.166667,0.055556,0.000000,0.484388
79,0.194444,0.055556,0.000000,0.479792
80,0.222222,0.055556,0.000000,0.473263
81,0.250000,0.055556,0.000000,0.464837
82,0.277778,0.055556,0.000000,0.454803
83,0.305556,0.055556,0.000000,0.443670
84,0.333333,0.055556,0.000000,0.432080
85,0.361111,0.055556,0.000000,0.420703
