,x,y,z,value
0,0.000000,0.000000,0.000000,0.502258
1,0.023810,0.000000,0.000000,0.501135
2,0.047619,0.000000,0.000000,0.497868
3,0.071429,0.000000,0.000000,0.492751
4,0.095238,0.000000,0.000000,0.486220
5,0.119048,0.000000,0.000000,0.478788
6,0.142857,0.000000,0.000000,0.470966
7,0.166667,0.000000,0.000000,0.463191
8,0.190476,0.000000,0.000000,0.455775
9,0.214286,0.000000,0.000000,0.448876
10,0.238095,0.000000,0.000000,0.442505
11,0.261905,0.000000,0.000000,0.436554
12,0.285714,0.000000,0.000000,0.430857
13,0.309524,0.000000,0.000000,0.425249
14,0.333333,0.000000,0.000000,0.419623
15,0.357143,0.000000,0.000000,0.413979
16,0.380952,0.000000,0.000000,0.408440
17,0.404762,0.000000,0.000000,0.403241
18,0.428571,0.000000,0.000000,0.398693
19,0.452381,0.000000,0.000000,0.395133
20,0.476190,0.000000,0.000000,0.392860
21,0.500000,0.000000,0.000000,0.392078
22,0.523810,0.000000,0.000000,0.392860
23,0.547619,0.000000,0.000000,0.395133
24,0.571429,0.000000,0.000000,0.398693
25,0.595238,0.000000,0.000000,0.403241
26,0.619048,0.000000,0.000000,0.408440
27,0.642857,0.000000,0.000000,0.413979
28,0.666667,0.000000,0.000000,0.419623
29,0.690476,0.000000,0.000000,0.425249
30,0.714286,0.000000,0.000000,0.430857
31,0.738095,0.000000,0.000000,0.436554
32,0.761905,0.000000,0.000000,0.442505
33,0.785714,0.000000,0.000000,0.448876
34,0.809524,0.000000,0.000000,0.455775
35,0.833333,0.000000,0.000000,0.463191
36,0.857143,0.000000,0.000000,0.470966
37,0.880952,0.000000,0.000000,0.478788
38,0.904762,0.000000,0.000000,0.486220
39,0.928571,0.000000,0.000000,0.492751
40,0.952381,0.000000,0.000000,0.497868
41,0.976190,0.000000,0.000000,0.501135
42,1.000000,0.000000,0.000000,0.502258
43,0.000000,0.023810,0.000000,0.501135
44,0.023810,0.023810,0.000000,0.499208
45,0.047619,0.023810,0.000000,0.495229
46,0.071429,0.023810,0.000000,0.489541
47,0.095238,0.023810,0.000000,0.482609
48,0.119048,0.023810,0.000000,0.474952
49,0.142857,0.023810,0.000000,0.467064
50,0.166667,0.023810,0.000000,0.459349
51,0.190476,0.023810,0.000000,0.452075
52,0.214286,0.023810,0.000000,0.445354
53,0.238095,0.023810,0.000000,0.439157
54,0.261905,0.023810,0.000000,0.433352
55,0.285714,0.023810,0.000000,0.427762
56,0.309524,0.023810,0.000000,0.422229
57,0.333333,0.023810,0.000000,0.416668
58,0.357143,0.023810,0.000000,0.411107
59,0.380952,0.023810,0.000000,0.405694
60,0.404762,0.023810,0.000000,0.400685
61,0.428571,0.023810,0.000000,0.396403
62,0.452381,0.023810,0.000000,0.393179
63,0.476190,0.023810,0.000000,0.391292
64,0.500000,0.023810,0.000000,0.390920
65,0.523810,0.023810,0.000000,0.392106
66,0.547619,0.023810,0.000000,0.394749
67,0.571429,0.023810,0.000000,0.398624
68,0.595238,0.023810,0.000000,0.403427
69,0.619048,0.023810,0.000000,0.408828
70,0.642857,0.023810,0.000000,0.414533
71,0.666667,0.023810,0.000000,0.420333
72,0.690476,0.023810,0.000000,0.426130
73,0.714286,0.023810,0.000000,0.431943
74,0.738095,0.023810,0.000000,0.437881
75,0.761905,0.023810,0.000000,0.444101
76,0.785714,0.023810,0.000000,0.450741
77,0.809524,0.023810,0.000000,0.457866
78,0.833333,0.023810,0.000000,0.465420
79,0.857143,0.023810,0.000000,0.473199
80,0.880952,0.023810,0.000000,0.480857
81,0.904762,0.023810,0.000000,0.487937
82,0.928571,0.023810,0.000000,0.493934
83,0.952381,0.023810,0.000000,0.498365
84,0.976190,0.023810,0.000000,0.500842
85,1.000000,0.023810,0.000000,0.501135
86,0.000000,0.047619,0.000000,0.497868
87,0.023810,0.047619,0.000000,0.495230
88,0.047619,0.047619,0.000000,0.490666
89,0.071429,0.047619,0.000000,0.484551
90,0.095238,0.047619,0.000000,0.477356
91,0.119048,0.047619,0.000000,0.469584
92,0.142857,0.047619,0.000000,0.461695
93,0.166667,0.047619,0.000000,0.454049
94,0.190476,0.047619,0.000000,0.446868
95,0.214286,0.047619,0.000000,0.440228
96,0.238095,0.047619,0.000000,0.434074
97,0.261905,0.047619,0.000000,0.428269
98,0.285714,0.047619,0.000000,0.422646
99,0.309524,0.047619,0.000000,0.417070
100,0.333333,0.047619,0.000000,0.411489
101,0.357143,0.047619,0.000000,0.405961
102,0.380952,0.047619,0.000000,0.400658
103,0.404762,0.047619,0.000000,0.395850
104,0.428571,0.047619,0.000000,0.391855
105,0.452381,0.047619,0.000000,0.388987
106,0.476190,0.047619,0.000000,0.387500
107,0.500000,0.047619,0.000000,0.387538
108,0.523810,0.047619,0.000000,0.389115
109,0.547619,0.047619,0.000000,0.392108
110,0.571429,0.047619,0.000000,0.396285
111,0.595238,0.047619,0.000000,0.401344
112,0.619048,0.047619,0.000000,0.406975
113,0.642857,0.047619,0.000000,0.412905
114,0.666667,0.047619,0.000000,0.418950
115,0.690476,0.047619,0.000000,0.425029
116,0.714286,0.047619,0.000000,0.431166
117,0.738095,0.047619,0.000000,0.437458
118,0.761905,0.047619,0.000000,0.444032
119,0.785714,0.047619,0.000000,0.450985
