x,y,z,water,no3,na
4.677419,0.322581,0.000000,18.72525907,0.00362278,-0.00023777
4.838710,0.322581,0.000000,18.53339167,0.00329015,-0.00024318
5.000000,0.322581,0.000000,16.98097386,0.00297683,-0.00032022
0.000000,0.483871,0.000000,18.28829718,0.00341300,-0.00019476
0.161290,0.483871,0.000000,18.54017394,0.00332066,-0.00014659
0.322581,0.483871,0.000000,18.74147728,0.00346794,-0.00014853
0.483871,0.483871,0.000000,18.31783975,0.00344859,-0.00015007
0.645161,0.483871,0.000000,18.46401683,0.00351771,-0.00015351
0.806452,0.483871,0.000000,18.29639214,0.00338927,-0.00015715
0.967742,0.483871,0.000000,18.18249983,0.00338965,-0.00016047
1.129032,0.483871,0.000000,18.27373766,0.00342410,-0.00016349
1.290323,0.483871,0.000000,18.65824825,0.00350256,-0.00016951
1.451613,0.483871,0.000000,18.80612413,0.00364966,-0.00017403
1.612903,0.483871,0.000000,18.96060618,0.00347670,-0.00018308
1.774194,0.483871,0.000000,19.14248638,0.00358535,-0.00018438
1.935484,0.483871,0.000000,18.52306936,0.00350652,-0.00018437
2.096774,0.483871,0.000000,18.62448411,0.00356984,-0.00018799
2.258065,0.483871,0.000000,18.39456407,0.00342783,-0.00019099
2.419355,0.483871,0.000000,18.18601685,0.00339826,-0.00019380
2.580645,0.483871,0.000000,18.27373766,0.00343086,-0.00019672
2.741935,0.483871,0.000000,18.65824825,0.00350940,-0.00020320
2.903226,0.483871,0.000000,18.80612413,0.00365678,-0.00020782
3.064516,0.483871,0.000000,18.96060618,0.00348346,-0.00021777
3.225806,0.483871,0.000000,19.14248638,0.00359229,-0.00021843
3.387097,0.483871,0.000000,18.52306936,0.00351327,-0.00021751
3.548387,0.483871,0.000000,18.62448411,0.00357666,-0.00022084
3.709677,0.483871,0.000000,18.39456407,0.00343430,-0.00022339
3.870968,0.483871,0.000000,18.18601685,0.00340461,-0.00022567
4.032258,0.483871,0.000000,18.27373766,0.00343717,-0.00022803
4.193548,0.483871,0.000000,18.65824825,0.00351577,-0.00023445
4.354839,0.483871,0.000000,18.80612413,0.00366328,-0.00023864
4.516129,0.483871,0.000000,18.96060618,0.00348953,-0.00024885
