,x,y,z,value
0,0.000000,0.000000,0.000000,0.501919
1,0.166667,0.000000,0.000000,0.463800
2,0.333333,0.000000,0.000000,0.415330
3,0.500000,0.000000,0.000000,0.397313
4,0.666667,0.000000,0.000000,0.415335
5,0.833333,0.000000,0.000000,0.463804
6,1.000000,0.000000,0.000000,0.501919
7,0.000000,0.166667,0.000000,0.463801
8,0.166667,0.166667,0.000000,0.420924
9,0.333333,0.166667,0.000000,0.375764
10,0.500000,0.166667,0.000000,0.353958
11,0.666667,0.166667,0.000000,0.391452
12,0.833333,0.166667,0.000000,0.450568
13,1.000000,0.166667,0.000000,0.463801
14,0.000000,0.333333,0.000000,0.415331
15,0.166667,0.333333,0.000000,0.375764
16,0.333333,0.333333,0.000000,0.303847
17,0.500000,0.333333,0.000000,0.291661
18,0.666667,0.333333,0.000000,0.327145
19,0.833333,0.333333,0.000000,0.391452
20,1.000000,0.333333,0.000000,0.415331
21,0.000000,0.500000,0.000000,0.397293
22,0.166667,0.500000,0.000000,0.353958
23,0.333333,0.500000,0.000000,0.291661
24,0.500000,0.500000,0.000000,0.266980
25,0.666667,0.500000,0.000000,0.291661
26,0.833333,0.500000,0.000000,0.353958
27,1.000000,0.500000,0.000000,0.397293
28,0.000000,0.666667,0.000000,0.415331
29,0.166667,0.666667,0.000000,0.391453
30,0.333333,0.666667,0.000000,0.327145
31,0.500000,0.666667,0.000000,0.291661
32,0.666667,0.666667,0.000000,0.303847
33,0.833333,0.666667,0.000000,0.375764
34,1.000000,0.666667,0.000000,0.415331
35,0.000000,0.833333,0.000000,0.463801
36,0.166667,0.833333,0.000000,0.450568
37,0.333333,0.833333,0.000000,0.391452
38,0.500000,0.833333,0.000000,0.353958
39,0.666667,0.833333,0.000000,0.375764
40,0.833333,0.833333,0.000000,0.420925
41,1.000000,0.833333,0.000000,0.463801
42,0.000000,1.000000,0.000000,0.501919
43,0.166667,1.000000,0.000000,0.463800
44,0.333333,1.000000,0.000000,0.415330
45,0.500000,1.000000,0.000000,0.397313
46,0.666667,1.000000,0.000000,0.415335
47,0.833333,1.000000,0.000000,0.463804
48,1.000000,1.000000,0.000000,0.501919
49,0.000000,0.000000,0.166667,0.463804
50,0.166667,0.000000,0.166667,0.420926
51,0.333333,0.000000,0.166667,0.375761
